tank,switched,1st.0.5,2nd.0.5,3rd.0.5,avg.05,speed.5,1st.1,2nd.1,3rd.1,speed.1,diff,first.dist,bursts,clutch,rack,ba,cond,impact,ud,alternate
3,y,3.556,2.56,2.54,2.885333333,5.770666667,6.35,6.35,4.572,5.757333333,-0.013333333,8.636,7,c,a,before,low,c,c,beforelow
3,y,2.54,6.76,2.794,4.031333333,8.062666667,3.81,14.224,15.748,11.26066667,3.198,13.716,3,c,a,before,low,c,c,beforelow
3,y,3.048,2.25,7.112,4.136666667,8.273333333,8.128,7.112,15.748,10.32933333,2.056,16.002,6,c,a,before,low,c,c,beforelow
3,y,7.112,2.89,5.334,5.112,10.224,11.43,8.89,7.874,9.398,-0.826,21.082,3,c,a,before,low,c,c,beforelow
3,y,14.224,7.84,5.588,9.217333333,18.43466667,14.224,11.43,6.35,10.668,-7.766666667,14.224,3,c,a,before,low,c,c,beforelow
3,y,1.778,1.44,2.286,1.834666667,3.669333333,3.302,7.62,3.81,4.910666667,1.241333333,3.81,4,c,a,before,low,c,c,beforelow
3,y,9.906,21.16,7.112,12.726,25.452,18.288,14.478,15.494,16.08666667,-9.365333333,28.575,4,c,a,before,low,c,c,beforelow
3,y,5.334,1.69,8.636,5.22,10.44,11.684,8.89,15.494,12.02266667,1.582666667,13.462,3,c,a,before,low,c,c,beforelow
3,y,4.826,8.41,3.048,5.428,10.856,9.398,14.0208,7.874,10.43093333,-0.425066667,6.35,3,c,a,before,low,c,c,beforelow
3,y,8.89,0.49,5.08,4.82,9.64,18.288,4.064,13.716,12.02266667,2.382666667,49.784,6,c,a,after,high,i,up,afterhigh
3,y,6.858,2.56,7.62,5.679333333,11.35866667,13.716,8.636,9.906,10.75266667,-0.606,56.388,3,c,a,after,high,i,up,afterhigh
3,y,7.366,7.29,,7.328,14.656,15.24,,,15.24,0.584,103.632,2,c,a,after,high,i,up,afterhigh
3,y,5.842,0.49,7.62,4.650666667,9.301333333,12.446,4.572,14.986,10.668,1.366666667,22.352,5,c,a,after,high,i,up,afterhigh
3,y,6.604,6.76,7.366,6.91,13.82,13.208,14.478,16.256,14.64733333,0.827333333,30.734,3,c,a,after,high,i,up,afterhigh
