tank,body mass ,Total Length,SVL,Head Width,Mid Width,Tail Width,Tail Height,clutch,rack,ba,cond,impact,ud,switched,alternate
3,0.63,1.897,1.054,0.311,0.243,,0.264,c,a,before,low,c,c,y,beforelow
3,0.61,1.724,1.072,0.3,0.232,0.167,0.271,c,a,before,low,c,c,y,beforelow
3,0.62,1.773,1.089,0.311,0.2,0.132,0.262,c,a,before,low,c,c,y,beforelow
3,0.61,1.841,1.004,0.293,0.265,0.158,0.281,c,a,before,low,c,c,y,beforelow
3,0.64,1.742,1.025,0.297,0.211,0.132,0.261,c,a,before,low,c,c,y,beforelow
3,0.63,1.85,1.079,0.188,0.245,0.155,0.269,c,a,before,low,c,c,y,beforelow
3,0.63,1.84,1.015,0.312,0.207,0.197,0.284,c,a,before,low,c,c,y,beforelow
3,0.61,1.758,1.036,0.269,0.208,0.186,0.231,c,a,before,low,c,c,y,beforelow
3,0.6,1.958,1.043,0.311,0.232,0.178,0.272,c,a,before,low,c,c,y,beforelow
3,0.45,1.744,0.992,0.261,0.176,0.12,0.217,c,a,after,high,i,up,y,afterhigh
3,0.5,1.685,0.987,0.272,0.188,0.147,0.238,c,a,after,high,i,up,y,afterhigh
3,0.43,1.714,1.048,0.267,0.181,0.148,0.196,c,a,after,high,i,up,y,afterhigh
3,0.41,1.549,0.943,0.225,0.189,0.155,0.138,c,a,after,high,i,up,y,afterhigh
3,0.51,1.845,1.053,0.26,0.173,0.136,0.201,c,a,after,high,i,up,y,afterhigh
3,0.57,1.599,1.016,0.269,0.188,0.148,0.24,c,a,after,high,i,up,y,afterhigh
3,0.54,1.698,0.975,0.254,0.177,0.116,0.167,c,a,after,high,i,up,y,afterhigh
3,0.56,1.854,1.02,0.274,0.197,0.129,0.242,c,a,after,high,i,up,y,afterhigh
3,0.53,1.783,1.038,0.287,0.199,0.128,0.194,c,a,after,high,i,up,y,afterhigh
4,0.48,1.586,0.942,0.262,0.191,0.112,0.181,d,a,after,low,i,down,y,afterlow
4,0.52,1.758,1.037,0.266,0.215,0.134,0.161,d,a,after,low,i,down,y,afterlow
4,0.44,1.695,1.02,0.284,0.182,0.114,0.219,d,a,after,low,i,down,y,afterlow
4,0.54,1.735,1.057,0.29,0.179,0.118,0.214,d,a,after,low,i,down,y,afterlow
4,0.57,1.724,1.095,0.276,0.199,0.122,0.245,d,a,after,low,i,down,y,afterlow
4,0.43,1.584,1.035,0.28,0.179,0.129,0.208,d,a,after,low,i,down,y,afterlow
4,0.5,1.802,1.018,0.28,0.226,0.168,0.202,d,a,after,low,i,down,y,afterlow
5,0.44,1.65,0.901,0.261,0.151,0.102,0.206,b,a,after,high,i,up,y,afterhigh
5,0.38,1.579,0.893,0.226,0.153,,0.218,b,a,after,high,i,up,y,afterhigh
5,0.46,1.749,1.002,0.282,0.198,0.153,0.231,b,a,after,high,i,up,y,afterhigh
5,0.46,1.679,1.089,0.272,0.18,0.13,0.232,b,a,after,high,i,up,y,afterhigh
5,0.43,1.821,0.991,0.319,0.193,0.163,0.155,b,a,after,high,i,up,y,afterhigh
8,0.4,1.787,1.031,0.255,0.17,0.108,0.201,c,a,before,high,c,c,n,beforehigh
8,0.45,1.81,1.052,0.262,0.2,0.138,0.238,c,a,before,high,c,c,n,beforehigh
8,0.42,1.789,1.088,0.25,0.152,0.115,0.215,c,a,before,high,c,c,n,beforehigh
8,0.46,1.764,1.046,0.243,0.166,0.107,0.216,c,a,before,high,c,c,n,beforehigh
8,0.45,1.744,1.033,0.242,0.165,0.112,0.223,c,a,before,high,c,c,n,beforehigh
8,0.47,1.834,1.076,0.27,0.166,0.104,0.184,c,a,before,high,c,c,n,beforehigh
8,0.42,1.669,0.983,0.252,0.164,0.112,0.218,c,a,before,high,c,c,n,beforehigh
8,0.5,1.712,0.998,0.231,0.169,0.121,0.234,c,a,before,high,c,c,n,beforehigh
8,0.4,1.636,0.956,0.236,0.162,0.122,0.205,c,a,before,high,c,c,n,beforehigh
8,0.45,1.562,0.953,0.242,0.167,0.143,0.274,c,a,after,high,c,c,n,afterhigh
8,0.39,1.728,1.121,0.259,0.15,0.117,0.203,c,a,after,high,c,c,n,afterhigh
8,0.46,1.759,1.026,0.27,0.212,0.167,0.208,c,a,after,high,c,c,n,afterhigh
8,0.46,1.633,0.933,0.265,0.174,0.138,0.193,c,a,after,high,c,c,n,afterhigh
8,0.56,1.622,1.016,0.263,0.203,0.127,0.216,c,a,after,high,c,c,n,afterhigh
8,0.41,1.711,1.004,0.28,0.174,0.124,0.234,c,a,after,high,c,c,n,afterhigh
8,0.45,1.609,0.918,0.246,0.198,0.115,0.217,c,a,after,high,c,c,n,afterhigh
8,0.48,1.695,0.984,0.257,0.182,0.138,0.199,c,a,after,high,c,c,n,afterhigh
12,0.52,1.619,0.921,0.25,0.199,0.137,0.213,b,b,after,high,i,up,y,afterhigh
12,0.66,1.722,0.901,0.278,0.219,0.155,0.241,b,b,after,high,i,up,y,afterhigh
12,0.38,1.666,0.978,0.273,0.164,0.122,0.226,b,b,after,high,i,up,y,afterhigh
12,0.52,1.558,0.905,0.291,0.209,0.124,0.246,b,b,after,high,i,up,y,afterhigh
12,0.48,1.645,0.984,0.255,0.212,0.157,0.228,b,b,after,high,i,up,y,afterhigh
12,0.52,1.632,0.974,0.276,0.192,0.127,0.235,b,b,after,high,i,up,y,afterhigh
13,0.53,1.691,0.992,0.254,0.2,0.12,0.262,c,b,before,high,c,c,y,beforehigh
